#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
74.953609,50,62.729308
77.468164,50,62.895925
82.771778,50,62.926892
39.261046,50,62.957368
55.264933,50,63.008235
80.43423,50,63.040146
81.083166,50,63.076051
85.382699,50,63.104986
90.043178,50,63.1345
55.217763,50,63.163421
69.628152,50,63.193343
55.276624,50,63.223262
70.413098,50,63.252184
78.786314,50,63.281106
87.941625,50,63.311656
60.077009,50,63.340577
78.140718,50,63.369502
78.211129,50,63.398422
60.849193,50,63.428344
75.695841,50,63.457266
50.996113,50,63.486189
62.363798,50,63.516108
85.035592,50,63.548292
47.44081,50,63.582199
75.25406,50,63.612117
86.51079,50,64.730417
72.310394,50,64.769312
66.896673,50,64.807211
86.976639,50,64.848102
53.601927,50,64.886998
84.064743,50,64.916919
78.970187,50,64.94684
61.132151,50,64.977759
78.685884,50,65.008675
81.966489,50,65.038596
79.127063,50,65.071509
36.500896,50,65.101425
84.420365,50,65.131348
84.755457,50,65.161268
46.7009,50,65.191188
79.34056,50,65.222105
88.772942,50,65.252025
86.109196,50,65.281944
85.469269,50,65.312862
78.636732,50,65.341784
82.709162,50,65.370708
46.563107,50,65.400631
77.972865,50,65.431306
88.119149,50,65.462223
83.596684,50,65.491146
25.381572,50,65.521066
86.608086,50,65.550986
80.330636,50,65.584896
85.519932,50,65.613817
86.783608,50,65.644735
55.59725,50,65.674654
85.275722,50,65.704575
46.967544,50,65.733497
80.756417,50,65.764415
88.959096,50,65.793338
63.363113,50,65.841209
84.54064,50,65.870132
78.218751,50,65.899055
74.916291,50,65.926982
78.304208,50,65.9569
86.013421,50,67.187496
86.239058,50,67.217424
84.985844,50,67.25276
85.923518,50,67.281682
61.668829,50,67.314177
85.144809,50,67.359057
82.834918,50,67.391812
83.529815,50,67.420744
86.772917,50,67.450559
89.732002,50,67.491874
66.701997,50,67.529778
68.777081,50,67.5581
83.254946,50,67.587024
81.181584,50,67.616634
78.514919,50,67.644666
70.466924,50,67.673771
78.642827,50,67.7019
68.026029,50,67.729046
79.357557,50,67.757575
88.029047,50,67.78551
83.564243,50,67.814451
49.751142,50,67.845161
82.172248,50,67.874083
61.519831,50,67.90201
87.78797,50,67.930229
68.689889,50,67.958158
80.324668,50,67.98708
76.131464,50,68.016009
81.623687,50,68.043952
85.910985,50,68.072883
83.730854,50,68.126482
80.780668,50,68.1574
63.879304,50,68.18732
72.566098,50,68.236189
84.390452,50,68.265111
75.256539,50,68.294042
76.486028,50,68.442681
77.017915,50,68.471602
87.731646,50,68.501523
73.153638,50,68.530453
83.08785,50,68.559377
71.249407,50,69.67091
51.675048,50,69.711802
78.699716,50,69.748703
85.899571,50,69.792584
79.378072,50,69.830484
60.320832,50,69.867385
88.147261,50,69.897305
79.830985,50,69.932614
70.382826,50,69.973505
76.674698,50,70.014396
80.176429,50,70.043319
70.235587,50,70.072241
85.313486,50,70.105153
70.375441,50,70.13607
83.037696,50,70.16599
88.300511,50,70.196908
89.04547,50,70.226826
71.764325,50,70.25974
87.732328,50,70.28966
44.936981,50,70.320577
